# Title:                 GRDC STATION DATA FILE
#                        --------------
# Format:                DOS-ASCII
# Field delimiter:       ;
# missing values are indicated by -999.000
#
# file generation date:  2021-11-16
#
# GRDC-No.:              3629001
# River:                 AMAZON RIVER
# Station:               OBIDOS - LINIGRAFO
# Country:               --
# Latitude (DD):       -1.9192
# Longitude (DD):      -55.5131
# Catchment area (km²):      
# Altitude (m ASL):        37.0
# Next downstream station:      -
# Remarks:               
# Owner of original data: Brazil - National Water Agency (ANA)
#************************************************************
#
# Data Set Content:      MEAN MONTHLY DISCHARGE (MQ)
#                        --------------------
# Unit of measure:                  m³/s
# Time series:           1968 - 2020
# No. of years:          53
# Last update:           2021-03-24
#
# Table Header:
#     YYYY-MM-DD - Date (DD=00)
#     hh:mm      - Time
#     Original   - original (provided) data
#     Calculated - GRDC calculated from daily data
#     Flag       - percentage of valid values used for calculation from daily data
#************************************************************
#
# Data lines: 625
# DATA
YYYY-MM-DD;hh:mm; Original; Calculated; Flag
1976-08-01;--:--;   -999.000; 202393.018; 100
1976-09-01;--:--;   -999.000; 162660.382; 100
1976-10-01;--:--;   -999.000; 115489.621; 100
1976-11-01;--:--;   -999.000;  96814.127; 100
1976-12-01;--:--;   -999.000; 106729.357; 100
1977-01-01;--:--;   -999.000; 132216.802; 100
1977-02-01;--:--;   -999.000; 147613.289; 100
1977-03-01;--:--;   -999.000; 165998.562; 100
1977-04-01;--:--;   -999.000; 195175.804; 100
1977-05-01;--:--;   -999.000; 219794.271; 100
1977-06-01;--:--;   -999.000; 225144.287; 100
1977-07-01;--:--;   -999.000; 216218.247; 100
1977-08-01;--:--;   -999.000; 192583.372; 100
1977-09-01;--:--;   -999.000; 154202.405; 100
1977-10-01;--:--;   -999.000; 121310.497; 100
1977-11-01;--:--;   -999.000; 125120.559; 100
1977-12-01;--:--;   -999.000; 137732.038; 100
1978-01-01;--:--;   -999.000; 164349.833; 100
1978-02-01;--:--;   -999.000; 173281.884; 100
1978-03-01;--:--;   -999.000; 189963.556; 100
1978-04-01;--:--;   -999.000; 205589.635; 100
1978-05-01;--:--;   -999.000; 219088.750; 100
1978-06-01;--:--;   -999.000; 220099.273; 100
1978-07-01;--:--;   -999.000; 209568.751; 100
1978-08-01;--:--;   -999.000; 187666.328; 100
1978-09-01;--:--;   -999.000; 150748.028; 100
1978-10-01;--:--;   -999.000; 117298.371; 100
1978-11-01;--:--;   -999.000; 114321.672; 100
1978-12-01;--:--;   -999.000; 121633.925; 100
1979-01-01;--:--;   -999.000; 154457.742; 100
1979-02-01;--:--;   -999.000; 168767.933; 100
1979-03-01;--:--;   -999.000; 181792.971; 100
1979-04-01;--:--;   -999.000; 204447.827; 100
1979-05-01;--:--;   -999.000; 221537.347; 100
1979-06-01;--:--;   -999.000; 223647.758; 100
1979-07-01;--:--;   -999.000; 209061.412; 100
1979-08-01;--:--;   -999.000; 175272.098; 100
1979-09-01;--:--;   -999.000; 128831.021; 100
1979-10-01;--:--;   -999.000;  95489.065; 100
1979-11-01;--:--;   -999.000;  94654.883; 100
1979-12-01;--:--;   -999.000; 101435.513; 100
1980-01-01;--:--;   -999.000; 125546.718; 100
1980-02-01;--:--;   -999.000; 141886.432; 100
1980-03-01;--:--;   -999.000; 150256.856; 100
1980-04-01;--:--;   -999.000; 168765.576; 100
1980-05-01;--:--;   -999.000; 181414.754; 100
1980-06-01;--:--;   -999.000; 184876.575; 100
1980-07-01;--:--;   -999.000; 177003.191; 100
1980-08-01;--:--;   -999.000; 150218.188; 100
1980-09-01;--:--;   -999.000; 111394.512; 100
1980-10-01;--:--;   -999.000;  92847.191; 100
