"VAPOR_WATER_FLUX_KG/S","CLOUD_LIQUID_WATER_FLUX_KG/S","CLOUD_FROZEN_WATER_FLUX_KG/S","PRECIPITATION_KG/S","EVAPORATION_KG/S","2M_TEMPERATURE_K"
58360204.89,-40005.35,141307.24,17599677478.60,-12394450864.46,296.59
95586225.50,165214.98,-162083.37,21036010219.11,-13304175836.67,296.87
139360446.24,422795.69,-471988.89,25548689432.72,-13698917238.53,296.40
69244479.80,403164.12,-354777.89,20610628086.08,-14004876015.35,296.99
4970831.81,182298.69,-132494.88,14057748851.42,-12877434699.40,297.08
-35794117.13,-82814.55,62119.36,9530021167.50,-10704966713.88,296.11
5989501.51,-40889.22,281805.54,10687307777.48,-9146540951.79,295.80
8476213.26,-374636.59,-25827.12,12191405798.60,-10317907188.43,296.83
92665637.96,35514.98,-102457.35,20165999443.48,-11597226717.13,296.70
185172454.00,292628.57,-508338.28,29659200980.92,-12637894021.56,296.27
158614782.70,204867.23,-444328.22,27306388761.12,-13203802544.99,296.17
88251413.60,63419.48,123539.83,22429845700.50,-12702700832.94,296.14
73381134.57,-118460.85,157442.66,19218820277.18,-12441057195.06,296.86
112271082.96,-27959.42,-135079.04,22419039704.29,-12820408840.53,297.27
125861179.37,121591.86,-358704.00,25186231941.58,-13902076119.36,297.57
71656390.59,65979.95,-306513.55,20869454186.05,-14176134215.26,297.45
14821053.03,96593.81,-40177.72,14979600931.78,-12654673585.82,297.54
-39886592.68,-50961.69,87214.52,9277051051.35,-10636082972.24,296.55
-43418952.26,-242561.08,41752.36,7948463090.56,-9791810335.34,296.96
33423274.42,-198693.15,101438.72,13648753816.94,-10325157106.88,297.15
87136256.61,-9337.42,-126049.75,20134663630.46,-12015381513.18,297.13
123260996.01,206760.82,-306859.28,25101874335.98,-13242754066.50,296.95
119557936.87,79663.72,-275606.75,23655057966.87,-13334080558.22,296.87
42124438.29,-158400.38,-139874.36,18312122007.53,-13301615597.90,297.20
86241432.30,204549.08,153864.50,19925702455.27,-12278675537.96,297.03
62532677.38,-40550.37,-111615.48,18439859707.96,-13421123613.57,297.96
95550464.24,205315.57,-258502.05,21885787988.71,-14108753632.34,297.54
70304714.17,287942.47,-255930.61,20556039466.97,-13950477328.29,297.48
-26507187.67,30769.23,-28294.75,12150769851.40,-12879490798.32,297.27
-12970628.61,-34414.36,-44024.11,10746710701.52,-10739935437.21,296.60
-2883670.68,-50321.95,171255.30,10830578463.31,-9736612286.49,296.06
58272357.75,-42193.03,39334.01,15704649780.00,-10287908213.65,296.48
90363667.03,-63074.36,-213513.87,20707233069.89,-11823179606.95,296.60
143434549.40,43399.17,-362125.84,25618262070.35,-12772027215.90,296.67
142321262.91,126029.80,-261929.59,26140974578.02,-12895338042.89,296.30
109215162.99,288760.44,-233403.76,22263880150.34,-12561971419.61,296.20
-6151927.02,-163152.25,377487.23,13064382702.93,-12303932903.82,296.31
21144213.84,-23698.03,166616.99,14497281098.10,-11833342478.74,297.25
125497543.18,345981.72,-290730.52,23083256956.27,-13119052262.58,296.75
59289760.35,380619.56,-101892.40,19121949651.73,-13853258268.25,296.94
30984560.32,178106.23,-79296.62,16136428533.98,-12352151637.43,296.38
-51646340.80,-130859.10,30225.28,7713805898.97,-10891670903.82,296.49
-21693947.29,-226911.11,132591.87,8447604327.19,-9555289925.60,296.06
42691051.14,-228352.08,-30341.75,14064998304.69,-10360714642.39,296.33
58507704.55,-18427.95,-108960.37,17627050098.52,-12016096677.94,296.86
137798827.59,151471.75,-303552.23,25053544463.26,-12693203668.07,296.47
94325254.85,-164141.61,-363722.29,21318934969.86,-13461837870.62,296.94
62672312.51,16094.34,65763.21,19498273553.46,-12784788185.30,296.59
37319749.01,-250534.92,113749.44,16365462317.41,-12934338016.95,297.14
94707815.61,133710.42,-97059.75,21640124900.60,-12937066147.54,297.18
79373408.55,13438.80,-88428.29,19472669686.16,-13532982674.94,297.65
34103862.75,185445.64,-124756.88,17457350674.84,-13957530284.09,297.71
35617595.14,233311.41,-116375.28,17400280456.96,-12820695430.70,296.85
-48888122.44,-175171.60,5420.37,7711043019.00,-11090890282.13,296.96
-29643270.40,-204105.13,145704.83,8713108817.69,-9768399462.43,296.32
49927300.49,-138652.82,-32098.31,14402892277.65,-10008559479.79,296.56
85086840.20,-40495.94,-237841.27,19560507563.92,-11644967712.20,296.75
102500340.67,-8390.53,-431338.71,22721972274.94,-13040672764.01,296.85
88919696.54,56912.31,-354629.80,21518270246.74,-13454353216.48,296.85
112950141.16,221472.11,-165440.38,23204150133.49,-12920313305.20,296.53
53014092.36,-259229.82,-12615.38,18226361675.67,-13055000165.27,296.99
47452230.78,-79654.29,-17493.72,17144892316.44,-13551470649.28,297.65
67116992.69,98371.38,-258464.88,19752626583.26,-14187577233.98,297.72
88931727.74,350543.46,-364067.09,22089857925.65,-13932194912.30,296.77
67282823.83,74737.94,-57602.41,18453949840.49,-12163922153.71,296.97
-36711988.28,-188787.03,73372.04,9597659680.16,-11096728119.09,296.82
-3611511.40,-92699.24,191597.86,9958401689.18,-9888394094.90,296.10
20612663.89,-113946.66,87859.30,13192625953.99,-10563814336.50,296.39
56039744.99,-206316.91,-71410.91,16545151370.47,-11805944001.84,296.94
141764109.72,272823.07,-303694.39,25505600018.19,-12584899225.20,295.84
109569638.09,-24814.75,-264082.31,22639485127.43,-13235075291.74,296.25
42281488.45,-110520.75,169464.55,17056909825.88,-12696201106.79,296.53
41682639.03,-80244.96,-85811.56,16412101081.85,-12358759440.60,296.84
12306252.92,-79323.96,-56932.09,15577454206.33,-13209848389.29,297.24
78379789.91,35921.23,-266471.81,20117763712.44,-13502231720.99,297.88
99890760.05,259713.06,-240595.66,22230887460.60,-13892601638.06,297.16
22652233.23,-49247.10,38637.27,15581572652.26,-12626601776.39,296.81
-13745418.67,-192551.16,88826.85,10639005108.09,-10557217657.87,296.20
-10079988.94,-132646.21,107348.50,10028631206.50,-9579940173.76,295.67
15221950.77,-166561.43,140365.94,11815909145.28,-9833461149.05,296.24
63868439.89,-174284.32,-102109.92,17293146777.71,-11324718605.62,296.69
134753123.46,142587.73,-333975.58,24682804487.13,-12307129365.32,296.39
99710853.15,-111310.97,-306127.28,22856837812.91,-13054713024.25,296.14
40504028.09,-367348.98,111780.32,17753619763.02,-12758172022.17,296.39
54912189.10,-48641.29,74635.49,18489687765.77,-12703344457.33,296.41
45399907.42,-56029.18,32717.54,17537047146.07,-13054353645.96,296.89
92394389.54,173523.18,-283776.88,21730411196.41,-13908813382.24,297.04
81949814.65,335626.21,-367845.89,21172665703.72,-13827785558.04,296.95
1091597.05,-70802.32,15982.81,13533660448.09,-12819914707.57,297.24
-7027894.45,-79898.87,-23375.51,11109934792.23,-10499834279.48,296.44
-15029781.30,-178676.49,5603.62,8942759887.59,-9455651306.00,296.36
