Date,Discharge [ft^3/s]
2008-09-22,597000
2008-09-23,640000
2008-09-24,670000
2008-09-25,690000
2008-09-26,705000
2008-09-27,711000
2008-09-28,709000
2008-09-29,696000
2008-09-30,675000
2008-10-01,648000
2008-10-02,616000
2008-10-03,586000
2008-10-04,558000
2008-10-05,522000
2008-10-06,484000
2008-10-07,442000
2008-10-08,416000
2008-10-09,409000
2008-10-10,413000
2008-10-11,408000
2008-10-12,392000
2008-10-13,378000
2008-10-14,366000
2008-10-15,351000
2008-10-16,338000
2008-10-17,333000
2008-10-18,336000
2008-10-19,335000
2008-10-20,326000
2008-10-21,315000
2008-10-22,306000
2008-10-23,302000
2008-10-24,305000
2008-10-25,303000
2008-10-26,304000
2008-10-27,308000
2008-10-28,308000
2008-10-29,308000
2008-10-30,303000
2008-10-31,297000
2008-11-01,294000
2008-11-02,295000
2008-11-03,306000
2008-11-04,321000
2008-11-05,334000
2008-11-06,338000
2008-11-07,338000
2008-11-08,330000
2008-11-09,323000
2008-11-10,315000
2008-11-11,312000
2008-11-12,309000
2008-11-13,300000
2008-11-14,298000
2008-11-15,297000
2008-11-16,292000
2008-11-17,295000
2008-11-18,293000
2008-11-19,291000
2008-11-20,294000
2008-11-21,288000
2008-11-22,287000
2008-11-23,290000
2008-11-24,289000
2008-11-25,284000
2008-11-26,286000
2008-11-27,288000
2008-11-28,287000
2008-11-29,289000
2008-11-30,282000
2008-12-01,273000
2008-12-02,266000
2008-12-03,267000
2008-12-04,268000
2008-12-05,269000
2008-12-06,276000
2008-12-07,276000
2008-12-08,270000
2008-12-09,263000
2008-12-10,270000
2008-12-11,293000
2008-12-12,323000
2008-12-13,337000
2008-12-14,339000
2008-12-15,335000
2008-12-16,331000
2008-12-17,345000
2008-12-18,368000
2008-12-19,400000
2008-12-20,455000
2008-12-21,502000
2008-12-22,537000
2008-12-23,557000
2008-12-24,562000
2008-12-25,562000
2008-12-26,564000
2008-12-27,578000
2008-12-28,602000
2008-12-29,621000
2008-12-30,649000
2008-12-31,681000
2009-01-01,704000
2009-01-02,740000
2009-01-03,778000
2009-01-04,819000
2009-01-05,853000
2009-01-06,897000
2009-01-07,934000
2009-01-08,947000
2009-01-09,938000
2009-01-10,913000
2009-01-11,879000
2009-01-12,851000
2009-01-13,825000
2009-01-14,804000
2009-01-15,791000
2009-01-16,788000
2009-01-17,790000
2009-01-18,803000
2009-01-19,808000
2009-01-20,804000
2009-01-21,795000
2009-01-22,765000
2009-01-23,725000
2009-01-24,673000
2009-01-25,618000
2009-01-26,562000
2009-01-27,508000
2009-01-28,460000
2009-01-29,433000
2009-01-30,433000
2009-01-31,452000
2009-02-01,457000
2009-02-02,442000
2009-02-03,439000
2009-02-04,464000
2009-02-05,512000
2009-02-06,575000
2009-02-07,636000
2009-02-08,675000
2009-02-09,676000
2009-02-10,657000
2009-02-11,630000
2009-02-12,610000
2009-02-13,599000
2009-02-14,612000
2009-02-15,633000
2009-02-16,657000
2009-02-17,696000
2009-02-18,740000
2009-02-19,787000
2009-02-20,821000
2009-02-21,847000
2009-02-22,864000
2009-02-23,878000
2009-02-24,883000
2009-02-25,876000
2009-02-26,856000
2009-02-27,834000
2009-02-28,809000
2009-03-01,782000
2009-03-02,759000
2009-03-03,727000
2009-03-04,700000
2009-03-05,684000
2009-03-06,687000
2009-03-07,694000
2009-03-08,702000
2009-03-09,710000
2009-03-10,704000
2009-03-11,692000
2009-03-12,683000
2009-03-13,663000
2009-03-14,669000
2009-03-15,676000
2009-03-16,677000
2009-03-17,686000
2009-03-18,712000
2009-03-19,751000
2009-03-20,787000
2009-03-21,811000
2009-03-22,824000
2009-03-23,829000
2009-03-24,834000
2009-03-25,840000
2009-03-26,858000
2009-03-27,869000
2009-03-28,875000
2009-03-29,879000
2009-03-30,880000
2009-03-31,882000
2009-04-01,889000
2009-04-02,891000
2009-04-03,899000
2009-04-04,912000
2009-04-05,934000
2009-04-06,963000
2009-04-07,983000
2009-04-08,997000
2009-04-09,1010000
2009-04-10,1010000
2009-04-11,1020000
2009-04-12,1020000
2009-04-13,1030000
2009-04-14,1040000
2009-04-15,1040000
2009-04-16,1050000
2009-04-17,1060000
2009-04-18,1060000
2009-04-19,1060000
2009-04-20,1060000
2009-04-21,1050000
2009-04-22,1050000
2009-04-23,1060000
2009-04-24,1060000
2009-04-25,1060000
2009-04-26,1060000
2009-04-27,1060000
2009-04-28,1060000
2009-04-29,1060000
2009-04-30,1050000
2009-05-01,1040000
2009-05-02,1030000
2009-05-03,1030000
2009-05-04,1030000
2009-05-05,1050000
2009-05-06,1080000
2009-05-07,1120000
2009-05-08,1150000
2009-05-09,1200000
2009-05-10,1240000
2009-05-11,1280000
2009-05-12,1320000
