"","V1","V2","V3","V4","V5"
"136",1990,4,208700,215663.333333333,225200
"137",1990,5,225900,230096.774193548,233000
"138",1990,6,227100,229890,233700
"139",1990,7,208500,217635.483870968,227000
"140",1990,8,173300,192254.838709677,207400
"141",1990,9,129600,152636.666666667,172000
"142",1990,10,83760,105591.612903226,128400
"143",1990,11,85420,92083,97280
"144",1990,12,98810,116558.387096774,132200
"145",1991,1,133600,148780.64516129,169000
"146",1991,2,170300,175885.714285714,178700
"147",1991,3,176500,182167.741935484,193900
"148",1991,4,195400,210280,222600
"149",1991,5,223300,232541.935483871,239000
"150",1991,6,234000,238143.333333333,239800
"151",1991,7,211700,222851.612903226,232900
"152",1991,8,181500,198667.741935484,211100
"153",1991,9,130900,156120,180600
"154",1991,10,88950,106071.612903226,128900
"155",1991,11,82640,86600.6666666667,91970
"156",1991,12,92400,98770,105800
"157",1992,1,106000,111938.709677419,122900
"158",1992,2,123600,127200,129200
"159",1992,3,128800,145896.774193548,166100
"160",1992,4,168100,182753.333333333,191000
"161",1992,5,186200,192138.709677419,194600
"162",1992,6,167900,178883.333333333,185700
"163",1992,7,148400,157516.129032258,166800
"164",1992,8,125300,136858.064516129,148400
"165",1992,9,112200,117273.333333333,125200
"166",1992,10,100200,106225.806451613,113300
"167",1992,11,93190,96225.3333333333,1e+05
"168",1992,12,99460,116183.870967742,132900
"169",1993,1,133300,146703.225806452,158400
"170",1993,2,158800,169053.571428571,182200
"171",1993,3,184000,200690.322580645,215700
"172",1993,4,216400,230240,241600
"173",1993,5,241700,244303.225806452,246000
"174",1993,6,234400,240130,245000
"175",1993,7,211800,223100,233800
"176",1993,8,170400,190770.967741935,210300
"177",1993,9,134600,151080,169000
"178",1993,10,108800,119812.903225806,133700
"179",1993,11,108100,114923.333333333,126300
"180",1993,12,127400,140364.516129032,153500
"181",1994,1,154700,171358.064516129,185300
"182",1994,2,186700,198107.142857143,210300
"183",1994,3,211600,225325.806451613,235400
"184",1994,4,236300,243496.666666667,251300
"185",1994,5,252800,254625.806451613,259200
"186",1994,6,252400,254976.666666667,259300
"187",1994,7,233900,245035.483870968,253800
"188",1994,8,196200,214654.838709677,233000
"189",1994,9,155700,176123.333333333,194600
"190",1994,10,123600,139277.419354839,154700
"191",1994,11,107800,115053.333333333,123200
"192",1994,12,109300,119722.580645161,131100
"193",1995,1,132900,143664.516129032,150500
"194",1995,2,150200,153050,157800
"195",1995,3,158400,163854.838709677,171300
"196",1995,4,172200,187950,206400
"197",1995,5,207400,216993.548387097,225900
"198",1995,6,217800,223240,226300
"199",1995,7,191500,206490.322580645,217500
"200",1995,8,148600,171900,190500
"201",1995,9,89610,113886,146000
"202",1995,10,74700,79913.8709677419,88070
"203",1995,11,75060,83342.6666666667,95680
"204",1995,12,95710,114074.193548387,126900
"205",1996,1,127000,139474.193548387,151700
"206",1996,2,152000,163639.285714286,176200
"207",1996,3,177300,199764.516129032,220100
"208",1996,4,220500,232163.333333333,242400
"209",1996,5,242100,247554.838709677,251200
"210",1996,6,240100,246830,250200
"211",1996,7,217500,229477.419354839,239500
"212",1996,8,177400,197545.161290323,217100
"213",1996,9,132400,154156.666666667,177100
"214",1996,10,108000,114132.258064516,131000
"215",1996,11,106700,111783.333333333,120300
"216",1996,12,120200,124877.419354839,128400
"217",1997,1,128100,140680.64516129,153500
"218",1997,2,153500,161414.285714286,170600
"219",1997,3,168700,192558.064516129,220200
"220",1997,4,220700,239260,253800
"221",1997,5,254500,262361.290322581,265800
"222",1997,6,243900,253780,262200
"223",1997,7,205800,225016.129032258,242300
"224",1997,8,156300,182222.580645161,204500
"225",1997,9,94850,127158.666666667,155100
"226",1997,10,73630,80554.5161290323,92700
"227",1997,11,72440,76394,85320
"228",1997,12,85800,94702.2580645161,107400
"229",1998,1,108600,118706.451612903,129900
"230",1998,2,130500,133975,139800
"231",1998,3,141100,153206.451612903,164600
"232",1998,4,165600,175450,185700
"233",1998,5,186800,199958.064516129,210600
"234",1998,6,209200,210043.333333333,211200
"235",1998,7,196600,204322.580645161,209500
"236",1998,8,156200,177325.806451613,195500
"237",1998,9,102500,130663.333333333,154900
"238",1998,10,75080,86708.064516129,100600
"239",1998,11,75220,88092,102200
"240",1998,12,103600,115967.741935484,120900
"241",1999,1,121200,132996.774193548,150900
"242",1999,2,151900,166532.142857143,185000
"243",1999,3,188000,208587.096774194,227000
"244",1999,4,227800,235243.333333333,243400
"245",1999,5,244100,256367.741935484,267900
"246",1999,6,259400,265426.666666667,268200
"247",1999,7,238100,249335.483870968,258400
"248",1999,8,203300,220822.580645161,237000
"249",1999,9,150000,177300,202100
"250",1999,10,108000,123058.064516129,147700
"251",1999,11,90650,96835.3333333333,106600
"252",1999,12,92650,98561.935483871,109300
"253",2000,1,110600,129458.064516129,141900
"254",2000,2,142100,153725,165600
"255",2000,3,165400,183632.258064516,202300
"256",2000,4,203000,220910,237800
"257",2000,5,238800,249132.258064516,255000
"258",2000,6,243700,250186.666666667,256200
"259",2000,7,230100,238387.096774194,244100
"260",2000,8,198000,214525.806451613,229700
"261",2000,9,156100,175516.666666667,197300
"262",2000,10,124700,136283.870967742,154800
"263",2000,11,115400,118183.333333333,123800
"264",2000,12,106500,112951.612903226,123600
"265",2001,1,123400,134419.35483871,152600
"266",2001,2,153600,168842.857142857,183000
"267",2001,3,184400,201964.516129032,218800
"268",2001,4,220300,236406.666666667,245300
"269",2001,5,244800,246319.35483871,249200
"270",2001,6,239500,242206.666666667,245100
"271",2001,7,210400,226312.903225806,240600
"272",2001,8,169400,189993.548387097,208700
"273",2001,9,127400,147730,168000
"274",2001,10,90990,108248.387096774,126000
"275",2001,11,89800,93668.3333333333,97170
"276",2001,12,98160,107724.516129032,124400
"277",2002,1,126600,145603.225806452,156900
"278",2002,2,154800,159367.857142857,171000
"279",2002,3,172800,186319.35483871,198200
"280",2002,4,199100,214100,227100
"281",2002,5,227400,232280.64516129,238900
"282",2002,6,239300,241603.333333333,244000
"283",2002,7,225500,234312.903225806,242800
"284",2002,8,189800,208251.612903226,224700
"285",2002,9,148900,168696.666666667,188100
"286",2002,10,94470,121409.35483871,147000
"287",2002,11,93700,101376.333333333,109800
"288",2002,12,111100,121103.225806452,132000
"289",2003,1,132800,139635.483870968,145500
"290",2003,2,146300,153846.428571429,160800
"291",2003,3,161400,169916.129032258,180500
"292",2003,4,182100,202016.666666667,218600
