id,year,month,qmin,qmean,qmax,mer,mtpr,mror,viwv,vilw,viiw
31,1981,7,182800,191819.35483871,197400,-166018970.778278,177275822.61149,123223665.052996,2024155.235756,-595891.740376,57019.438799
32,1981,8,153900,169619.35483871,182700,-183283026.205449,232930882.242366,71982694.245754,59113054.940215,-323870.208316,-270896.775922
33,1981,9,112600,132213.333333333,153100,-205939276.362662,282848403.619789,80176877.436585,93167290.83249,-119414.130638,-355934.681431
34,1981,10,91350,97968.3870967742,111600,-215114290.371574,308330357.258134,86432940.423964,115569462.845291,-183909.234744,-491032.733299
35,1981,11,89230,92827.6666666667,96220,-206896496.752794,386281719.997928,117119455.401069,186875112.574907,340591.385563,-544307.555434
36,1981,12,95170,104218.064516129,118000,-199626491.182405,443106483.398838,184585702.145802,258505145.930786,299841.967037,-672595.070675
37,1982,1,119000,140806.451612903,162300,-196305069.755548,467624242.828823,241687752.080873,287775779.213814,662995.506661,-446546.127981
38,1982,2,163600,178389.285714286,191500,-195001466.45731,509985061.905289,279962059.033493,328056909.532742,680408.883766,-902728.221391
39,1982,3,193200,205306.451612903,215900,-197067681.651564,467390636.798917,287327722.928934,275032646.058114,428305.480975,-672609.801782
40,1982,4,216600,230433.333333333,247000,-178301804.611942,485951964.827501,301239546.236405,313726739.299909,482719.609332,-435041.996292
41,1982,5,248400,257180.64516129,261400,-168803505.557314,345285247.25173,240154038.784456,174901703.364998,-107348.578764,-134601.19467
42,1982,6,250100,256933.333333333,261200,-164469549.210886,227466977.554829,140283553.236497,70201813.870715,-884912.226109,-83727.073811
43,1982,7,220300,235919.35483871,249200,-167639197.123816,238498885.848433,110576283.897242,75672374.333601,-692083.840226,-65672.216953
44,1982,8,174300,197393.548387097,218600,-184236571.688259,224651222.217621,88748490.100576,58449350.839318,-495121.428246,-295073.559038
