date,water_vap,water_liq,water_ice,prec,evap,temp_2m,dew_2m,lai_lv,lai_hv,discharge
1979-01-01,-9076102.69944384,-30322.677371604907,-167426.78835221348,48468796.261027545,-45392794.33820228,295.1546353131622,280.57168315065144,1.2165835620540744,1.195203629738259,1359.0
1979-02-01,30319639.644305587,2346.946556418945,-70658.34444903268,70729293.37112601,-47778249.456814036,297.60682337823215,281.77930860001254,1.1998810738238777,1.174617308693059,1198.0
1979-03-01,4805155.373918153,-145543.19133167563,-202576.21944400703,55611019.54372117,-47406496.56559289,298.85476894753526,279.68854251350166,1.2018671195845805,1.198883731356656,1247.0
1979-04-01,72104924.20302697,-75105.6849815854,-353366.1707375131,102337108.3677275,-54698841.174313925,301.1877770936835,283.3660084068849,1.2223856194323794,1.2683192744061726,1188.0
1979-05-01,63320890.2334609,57995.04718087158,-471671.2521538555,132059157.39865962,-73694975.2872808,300.5918298122527,287.1282552960265,1.2573740238298043,1.357776992334617,1247.0
1979-06-01,52868731.63275699,-41193.83851608616,-312849.9836891,123049387.45622161,-72993853.34514678,300.4367750547706,288.5775120180037,1.3189497339165732,1.4186975723453137,1643.0
1979-07-01,47053317.6367642,-33410.400184562226,-417923.49304647796,128718402.41145232,-80878226.47815923,299.5434540159677,289.1530460334852,1.4186235082451522,1.4381937131180615,1877.0
1979-08-01,57298341.092295066,-64149.93690816025,-372492.9590159489,151226213.4547753,-88097387.24217066,299.32993099436516,290.35653836074397,1.5141736791535756,1.4536738400821017,1657.0
1979-09-01,28108240.10592884,-51428.519863934845,-246985.871190855,125076057.34810826,-89191044.94391173,299.7552999806542,289.2737965318203,1.5148462507213456,1.4421290093645625,1277.0
1979-10-01,28518228.968117192,-89926.64437892119,-161234.0661395181,97979986.53557041,-74748408.87874314,299.5238441818515,288.01033018176355,1.4141197815472248,1.3909620480451774,1164.0
1979-11-01,-10710012.008982785,-139700.55215800396,-122928.76542741076,60257618.73858921,-59717244.92269468,298.1281673693395,285.5491884039112,1.3200684345158267,1.3271767617491699,1091.0
1979-12-01,-8574280.747931764,170460.16898892564,-81963.20037154133,40213199.60257463,-44224839.048234634,294.3429693062701,279.9311685135961,1.2510079137937278,1.2498827913789596,1153.0
1980-01-01,-24004988.516703583,-46457.66804016226,65908.13486343299,19142550.07519435,-37533174.16088643,295.49709477162173,278.3495561610452,1.2165835620540744,1.195203629738259,1238.0
1980-02-01,-15501736.382159442,-158602.46536605174,-133448.6421475696,20897142.863995545,-36364261.96701188,296.980753333029,278.3931051296725,1.1998232252220498,1.174712520345696,979.0
1980-03-01,21832849.758965954,-114139.24403420318,-101767.61053054307,54541937.838355884,-45349792.53903089,299.4904036883881,280.65886298833885,1.2018703632520358,1.1989655996784057,1038.0
1980-04-01,39340961.03373039,-157392.77695917548,-322741.27838355413,90573086.1538474,-55947341.25943714,300.788614034935,283.3079995411268,1.2223856194323794,1.2683192744061726,1039.0
1980-05-01,82908716.41313538,-111181.79377222185,-353909.4739499492,135531301.93213734,-69954586.87975524,300.9996150856091,287.25464719531345,1.2573740238298043,1.357776992334617,1105.0
1980-06-01,55804822.061080486,-122763.87634029659,-370814.19942286075,122387416.78164256,-74761557.03873906,300.2696050076426,288.2408343077884,1.3189497339165732,1.4186975723453137,1447.0
1980-07-01,55725316.248935506,-31166.48298389798,-477622.4632356157,153105703.2950248,-85194198.33062634,298.9900491890586,289.756639596506,1.4186235082451522,1.4381937131180615,1782.0
1980-08-01,42040864.401654005,-31201.486938115828,-339385.58456697036,140960080.94275472,-85552781.30800885,299.1234781823921,289.2290183860065,1.5141736791535756,1.4536738400821017,1505.0
1980-09-01,30449342.67146255,-38666.72733988969,-197373.1717593794,116796296.690365,-83590649.26299104,299.41397175741946,288.6919327385417,1.5148462507213456,1.4421290093645625,1138.0
1980-10-01,6057772.78203319,-139940.2879214858,-140933.80304500155,90921810.88077366,-77284821.0138297,299.24348604110577,287.65227349364187,1.4141197815472248,1.3909620480451774,1013.0
1980-11-01,-780771.4246336147,44450.4178125951,-66951.08474785597,66751887.03286844,-59438562.97895771,297.1734769466016,284.5160641742914,1.3200684345158267,1.3271767617491699,996.0
1980-12-01,-34222948.76835959,-23116.451352225726,-21661.64899861462,21033578.1428511,-45965210.74289032,295.7540811875943,281.67710420223415,1.2510079137937278,1.2498827913789596,1059.0
1981-01-01,-24974141.838705964,-90917.14966513944,-40648.836992699886,15907430.41246692,-38416879.35860864,295.273777854688,278.0350384731403,1.2165835620540744,1.195203629738259,1250.0
1981-02-01,-17132690.88208793,-178845.43963426372,-42761.95435062528,17698084.6046441,-33944931.813209035,296.6719440990232,276.45318053247115,1.1998810738238777,1.174617308693059,1025.0
1981-03-01,33390147.403720308,-174120.31949552003,-139663.65979696438,79204090.1290419,-41889122.63505989,298.8230101310757,280.38394850135825,1.2018671195845805,1.198883731356656,1082.0
1981-04-01,27772579.4918926,-117265.00648194744,-148173.54262955606,68554824.6926971,-49420614.9084817,300.40051854724743,280.25386733029325,1.2223856194323794,1.2683192744061726,1076.0
1981-05-01,46700835.35771182,-85947.86188699388,-120883.97159607953,101450872.40381736,-66585264.59793389,300.9422980698007,285.8311186456416,1.2573740238298043,1.357776992334617,1132.0
1981-06-01,43452058.753670275,-165298.21215665163,-261743.49871918876,99308211.9322667,-67639805.96425581,300.8190938139646,287.5744078754884,1.3189497339165732,1.4186975723453137,1470.0
1981-07-01,82097539.29883543,2642.8034129264415,-457142.2260539443,161638064.70478007,-79822224.6387226,299.1189940984535,289.96827643408966,1.4186235082451522,1.4381937131180615,1794.0
1981-08-01,63848919.69364229,-19716.784296836675,-350733.3819648796,154035197.62588793,-84589037.27806614,299.4037514806609,289.47694995373956,1.5141736791535756,1.4536738400821017,1528.0
1981-09-01,32280359.39853941,-56447.007352302164,-265657.00766050606,135436413.28110534,-88019347.86766075,298.8965491085444,289.29207161038386,1.5148462507213456,1.4421290093645625,1215.0
1981-10-01,16331316.511151,-75981.85343775054,-147751.2841994602,94104569.67406899,-77553495.32816687,299.34862573298676,287.64049932450496,1.4141197815472248,1.3909620480451774,1146.0
1981-11-01,-20290347.61756739,59877.551625434055,7045.388679089678,47812097.276085585,-58213432.00138818,296.42588198678243,282.9541223464475,1.3200684345158267,1.3271767617491699,1133.0
1981-12-01,-16594067.920994803,-53188.685180357716,26491.436306210904,25891689.772330794,-40717656.777024776,296.53793409382035,281.37333338759834,1.2510079137937278,1.2498827913789596,1262.0
1982-01-01,-9855544.176134512,-133276.81719077556,-30459.60440086294,29508019.992261477,-37243521.551524684,296.495009810712,280.81336833988956,1.2165835620540744,1.195203629738259,1528.0
1982-02-01,-5248226.696251765,-103601.79788326571,-123108.70533845748,26105350.06089936,-37118546.10870663,295.56122121717533,276.64575434044747,1.1998810738238777,1.174617308693059,1100.0
1982-03-01,-15673295.003778044,-221558.33086803142,-234791.61025876427,44782890.22766358,-43131724.03888263,298.6891827687703,279.3751372951657,1.2018671195845805,1.198883731356656,1153.0
1982-04-01,47371072.31706736,-102617.67568204003,-445419.1238247534,79641635.29163088,-47070686.680702284,300.5341502796089,281.84831330574605,1.2223856194323794,1.2683192744061726,1125.0
1982-05-01,50277673.35822743,32581.821451746597,-291517.09838793124,116118484.89440644,-65212862.28121781,300.33789908490576,285.2485189037496,1.2573740238298043,1.357776992334617,1169.0
1982-06-01,33932906.931705266,-216288.74778791872,-152986.33184229778,92173245.31908907,-67031264.3557589,300.4390679346986,286.46521241119353,1.3189497339165732,1.4186975723453137,1609.0
1982-07-01,49993052.76313992,-150083.0517586943,-238335.664975508,121241031.64039531,-73988116.19302246,299.42888911664437,288.2653825397932,1.4186235082451522,1.4381937131180615,1875.0
1982-08-01,42787137.09231202,-103925.51320907228,-225691.67036863934,134705300.1619887,-84370023.12345558,299.01111079565106,289.5179767128564,1.5141736791535756,1.4536738400821017,1632.0
1982-09-01,33621601.153305605,-45858.833252798504,-221069.3495692493,121426907.89973766,-85120584.83222404,299.16706960713293,289.08312859632713,1.5148462507213456,1.4421290093645625,1273.0
1982-10-01,36966576.579933584,77347.54764065015,-228585.7693172022,125625179.50128876,-79381981.46792415,298.0361768709081,288.2358389976984,1.4141197815472248,1.3909620480451774,1192.0
1982-11-01,-9354459.499834135,175941.7204971986,-52568.97773567945,66283046.761511564,-60163705.54282495,295.4869225547469,282.4917234769746,1.3200684345158267,1.3271767617491699,1169.0
1982-12-01,-32296822.66005428,118481.8015434317,-17941.371575108344,25646950.731086664,-44895555.40055796,294.56944569280415,279.6817964300976,1.2510079137937278,1.2498827913789596,1296.0
1983-01-01,-11602493.129282612,57192.383657956416,-61734.342459147854,17349422.547657784,-33765929.61633319,292.73860245788137,276.3902091072472,1.2165835620540744,1.195203629738259,1493.0
