date,water_vap,water_liq,water_ice,prec,evap,temp_2m,dew_2m,lai_lv,lai_hv,discharge
1991-09-01,56039744.98869762,-206316.9102867675,-71410.90923484912,191491937.96789217,-136643122.6437071,296.94267993740505,291.7804287138001,0.7595806753941359,3.923770186621278,35614.354
1991-10-01,141764109.71998528,272823.07453591516,-303694.3899165329,295200524.9396856,-145658801.0380544,295.83790143189236,292.6266965468853,0.7694062050092186,3.991499543706746,37478.139
1991-11-01,109569638.09430808,-24814.75302484131,-264082.31044783944,262030305.98789966,-153184245.0558024,296.2471056478512,293.1803702138362,0.779621701407381,4.02436238131065,46224.558
1991-12-01,42281488.45439237,-110520.74762926654,169464.55030687436,197417028.82935396,-146947259.32800964,296.53453312109235,292.17488300356564,0.7856503727615858,3.8739139931087725,50963.718
1992-01-01,41682639.03294349,-80244.95765889846,-85811.55966940307,189954316.86311352,-143041410.66017982,296.8368118974986,291.2751183819275,0.7905749239919182,3.7964399744870168,39245.726
1992-02-01,12306252.916088358,-79323.95896883981,-56932.088143743065,180293118.0319718,-152892168.66308275,297.2396273948149,291.0621664687246,0.7969723225957936,3.9015966562374738,29389.246
1992-03-01,78379789.91215602,35921.23090491367,-266471.8133446209,232841825.18425283,-156275859.84399468,297.88075162951174,293.0227584860673,0.8006519718739615,4.07234865273017,25160.805
1992-04-01,99890760.04903838,259713.0631077416,-240595.66402510132,257297762.31020334,-160794397.7789626,297.15738542885634,294.16943100941836,0.8009932107884451,4.2465350109737745,26964.451
1992-05-01,22652233.2253324,-49247.09946014157,38637.269201343064,180338387.17793357,-146141441.6567824,296.814888271155,293.0995339502703,0.7857565384654503,4.176371307938456,28997.029
1992-06-01,-13745418.67229189,-192551.1609769737,88826.84840838079,123131391.48878407,-122190446.01124279,296.2037848953287,291.0324976164845,0.7644172479702798,3.86227499826176,27001.28
1992-07-01,-10079988.937820792,-132646.2143301089,107348.50407447285,116066803.10549979,-110879210.22021045,295.6680848153198,289.48098833871154,0.7494094320193064,3.619894465969883,25082.355
1992-08-01,15221950.766127467,-166561.43211893045,140365.9390533804,136756249.55339015,-113813573.64747354,296.24064778140206,289.5939378096357,0.7498556380183876,3.7009217768827978,27123.294
