date,water_vap,water_liq,water_ice,prec,evap,temp_2m,dew_2m,lai_lv,lai_hv,discharge
2000-06-01,-8385465.518882964,94590.41458984964,112911.64840906404,69091403.5222938,-76884124.09902559,288.22616153950173,281.1385977034133,1.4910569996218148,2.6919615820640663,67353.333
2000-07-01,22689318.923733473,373747.65249266295,70134.1514671247,95442514.69416535,-73994650.65346664,288.2145744583067,282.99465221534615,1.6203583249108675,3.0214325823755286,20064.516
2000-08-01,15649518.184369743,282086.79614683404,275738.4344082293,86006907.05970238,-60606926.51765295,287.51842878456097,282.76337494476496,1.5048555183086598,2.6367753575862123,16561.29
2000-09-01,19683547.890383437,186598.66346028078,58627.05035241385,58794524.74394667,-33669366.00063747,279.0782656102059,274.544326240978,1.3280972767683148,1.9646099169903164,18043.333
2000-10-01,26892789.996867713,302990.6121359299,548028.8543498025,40279699.29705301,-10206591.436836414,266.3028115006935,262.6747808625527,1.243127284271079,1.7067762806574822,15119.355
2000-11-01,15233156.589274317,221528.11176581378,674240.6162140592,24837465.212118868,-3198471.167088079,251.35705073942813,248.3294356780323,1.2141942515390296,1.5988478267824655,11262.333
2000-12-01,15658122.325503906,83416.32130901354,842006.814677226,17961627.271625653,-432723.43248608435,243.36386542253672,240.46427734546077,1.2033934667582298,1.5260694299975368,9154.516
2001-01-01,11895179.831845801,37629.88664795722,624232.7578451796,13657852.641672041,-645498.1074160617,241.81118510213798,238.75423724497762,1.1965092668925374,1.532973875630194,9837.097
2001-02-01,15439674.495992702,70772.11639118369,552909.3761751818,16939330.979539953,-2081265.8409320354,249.87187042482466,246.57035100312993,1.1995433473097379,1.5881128138672824,9757.143
2001-03-01,28891951.63436404,345416.21137348784,358528.8668120159,35518677.558479995,-7537254.11633001,259.9997497461214,255.55828663850355,1.2084534385402066,1.614361040697945,9443.548
2001-04-01,17816654.836390764,264984.9633657582,378816.9379688673,39949046.05116619,-18700863.249509335,268.3198911251245,262.2384646956599,1.2262712267670517,1.6705618922796601,9078.333
2001-05-01,24691637.81067981,392755.26772415463,213525.16136025853,53759650.86530897,-40284025.21617977,279.5950217795466,272.705221612576,1.30185755362463,2.0037996298116223,22803.226
2001-06-01,14609530.102398813,-65478.731341265666,80730.90165067493,85136392.86593589,-79122530.34001137,289.383485718345,282.9107206032939,1.4910569996218148,2.6919615820640663,91523.333
2001-07-01,20894837.510386586,187080.55168835097,257897.60307091288,98288448.40600386,-77276045.97293362,289.31727012831715,284.1305185367055,1.6203583249108675,3.0214325823755286,25448.387
2001-08-01,5793571.165642515,-219239.07071524876,60087.114957358805,72785145.98125921,-63495407.45934374,288.8173180045846,283.9097595145729,1.5048555183086598,2.6367753575862123,19251.613
2001-09-01,17699049.67501758,192433.21361286275,207623.85857768543,64553541.74138056,-34490212.98764499,279.27342805348,274.70981779827264,1.3280972767683148,1.9646099169903164,18216.667
2001-10-01,23267041.685096562,307295.5184775658,470478.73516838846,37653505.333424285,-11748461.303416826,269.386342283066,265.3626210999527,1.243127284271079,1.7067762806574822,15851.613
2001-11-01,25431265.37682446,547056.437248209,482599.0285328737,35248884.65000294,-4935800.007986682,261.9326715508812,258.9199233656145,1.2141942515390296,1.5988478267824655,14260.0
2001-12-01,18420493.305220164,145441.35655906214,597359.6776273185,19448340.44059504,-1315006.4623556507,248.8444674260578,245.8921870654537,1.2033934667582298,1.5260694299975368,10672.581
2002-01-01,28635781.18630287,357680.2669952342,542671.1682018838,31185398.483438425,-1389479.5707039456,253.6592754359124,250.80435635442092,1.1965092668925374,1.532973875630194,10685.484
2002-02-01,16875640.578635607,234895.59603526015,542752.3613604384,25822121.841825247,-4282603.846174538,256.0899088023144,252.5836452558525,1.1995433473097379,1.5881128138672824,11125.0
2002-03-01,25334944.048364636,310238.3468289851,765996.6594890162,34555625.34477664,-9092181.805321962,264.2104363674943,259.59490586685274,1.2084534385402066,1.614361040697945,10919.355
2002-04-01,13892309.597597638,215875.5983979982,416999.0874523144,30116913.69823989,-17275895.154232003,267.89132095343894,261.8675206581235,1.2262712267670517,1.6705618922796601,10956.667
2002-05-01,13682195.544363443,209503.16824926782,215971.02275627927,46330694.0205374,-43125167.93529047,280.22206942247095,273.0051535093967,1.30185755362463,2.0037996298116223,42290.323
2002-06-01,3014653.6810817644,215448.34288668496,114808.0092783203,74423524.94123736,-80013758.13455695,287.9609709089885,281.2362157664694,1.4910569996218148,2.6919615820640663,79116.667
2002-07-01,-351422.57411246,-31582.53121488192,162796.6256557186,82322652.4769718,-81407960.58080637,290.82473883444766,285.42321670998945,1.6203583249108675,3.0214325823755286,20051.613
2002-08-01,4259067.245228127,278445.6381571087,209955.69263942272,75498358.50355202,-63561982.73627359,287.1969683735792,282.02873512775597,1.5048555183086598,2.6367753575862123,17487.097
2002-09-01,25472411.353606068,517965.38597247365,346932.6147818535,64073279.15153022,-34344789.5064197,278.4460041546476,273.4481275713176,1.3280972767683148,1.9646099169903164,21843.333
2002-10-01,22766791.40729282,337005.17771575064,519088.62409150245,39847018.877943516,-10831873.296151761,267.6707457988212,264.34597996504834,1.243127284271079,1.7067762806574822,16130.0
2002-11-01,16211803.580954976,204576.9054749334,616032.2993969609,24710950.890524875,-3271664.3274693633,255.71625510101325,252.99204661250195,1.2141942515390296,1.5988478267824655,9683.667
2002-12-01,10344503.203738287,57640.04241978695,487284.8777826871,11711452.892935596,-412075.52719815145,245.28572644710908,242.18984106240964,1.2033934667582298,1.5260694299975368,8954.516
2003-01-01,22211360.83863054,159942.3149342289,709910.9050374986,22666865.338066623,-605225.049167525,250.57988939294356,247.72094455556817,1.1965092668925374,1.532973875630194,10256.452
2003-02-01,14142660.06522689,109957.03046481892,353379.49693528726,19449074.167570703,-2336323.761353497,254.0023795409716,250.80065314729296,1.1995433473097379,1.5881128138672824,9519.643
2003-03-01,13331533.423622908,136942.86940229393,518936.97036213515,20944355.150006067,-8423287.074281119,261.521739490998,257.1967174540429,1.2084534385402066,1.614361040697945,8754.839
2003-04-01,20188898.35584049,368064.11456779,442458.7603581237,40513521.57467973,-19008366.297056668,269.40583240228085,263.64486366421744,1.2262712267670517,1.6705618922796601,8358.333
2003-05-01,15271721.839023724,349347.99391860474,161523.81362635363,43499416.8894971,-40324613.57108673,278.12378839033687,270.5935627913101,1.30185755362463,2.0037996298116223,36301.29
2003-06-01,-23312302.49812534,93876.3915217137,52227.45043189975,54582075.217708915,-80983204.90386216,288.164506310599,280.2951754018106,1.4910569996218148,2.6919615820640663,78473.333
2003-07-01,19660401.79841573,-2198.249766993511,-152925.3631358497,90397613.08961898,-75430560.75947924,289.3081083889279,283.4124979682197,1.6203583249108675,3.0214325823755286,18590.323
2003-08-01,13226714.238499127,514089.2050368637,158153.4432627487,71760997.48909701,-58656030.26581155,286.6750793829872,281.7901622121661,1.5048555183086598,2.6367753575862123,15022.581
2003-09-01,22214836.242637567,228324.72630323446,224729.3776539232,68314029.3972879,-35399605.3031898,279.8480318758445,275.790165387494,1.3280972767683148,1.9646099169903164,13620.0
2003-10-01,28738465.46833475,596382.1749568174,604629.3793686911,46103344.39986675,-12263401.595221687,269.26839531569254,265.1642921710818,1.243127284271079,1.7067762806574822,12454.839
2003-11-01,18076037.165785067,121768.83032567939,617215.5097186535,26047083.8268847,-3863225.276489379,254.20205213297314,251.21804225513293,1.2141942515390296,1.5988478267824655,8166.0
2003-12-01,26349952.904229514,341790.5043171163,794986.8254311016,29068653.40606329,-1848631.4842765029,254.200532077198,251.25686100207048,1.2033934667582298,1.5260694299975368,6666.774
2004-01-01,15295046.855557868,121805.57746552366,301835.58723964414,16991603.37678946,-335766.4192371208,250.1331728660914,247.31947347619018,1.1965092668925374,1.532973875630194,7543.548
2004-02-01,19663204.284145057,243039.83696320624,652206.8250821857,25075632.820641387,-2398558.3465519985,253.98163275202083,250.80461894008786,1.199631946706412,1.58856220586478,7124.138
2004-03-01,22149297.634293932,226926.84280041367,564119.8476389181,28804340.822733488,-7039717.171577286,259.0386960039477,254.4321889011634,1.2084862701119508,1.6144381421770253,7338.71
2004-04-01,16307139.71318813,394801.96156542696,641480.9286461249,37176835.26594236,-19308379.09262526,269.4823603622135,263.6488759178374,1.2262712267670517,1.6705618922796601,7935.0
2004-05-01,18036871.54951793,196955.00986887107,242705.00440214862,51654218.76242876,-41798880.967812896,278.1405321035756,271.34997086199604,1.30185755362463,2.0037996298116223,19936.129
2004-06-01,2320751.1892001927,49428.20560215943,194760.89548400766,71199197.19101629,-77482378.85327178,287.6205970380572,280.93946087902066,1.4910569996218148,2.6919615820640663,88916.667
2004-07-01,-8196441.060479365,142274.73866729529,175826.48968715157,77915066.74597624,-81891469.10119516,288.5767473921265,283.09396642779507,1.6203583249108675,3.0214325823755286,23096.774
2004-08-01,17678935.828870207,452766.6006448846,307489.3909077841,79260971.32723865,-60468599.493521735,285.1223875762737,280.21206253582517,1.5048555183086598,2.6367753575862123,16525.806
2004-09-01,30654981.917256314,267780.74098464387,366668.15266583173,68081493.22157803,-34298317.39917871,279.06279605223125,274.8292350130158,1.3280972767683148,1.9646099169903164,18743.333
2004-10-01,27271013.44027318,462068.7846397133,373494.3422325932,44825175.10706356,-12582566.874429557,270.83138066475505,266.4794665036918,1.243127284271079,1.7067762806574822,16496.774
2004-11-01,25100189.096855775,567848.2649779492,612381.090514235,34055705.385846674,-5012870.0082670655,261.53628484882427,258.09044842613787,1.2141942515390296,1.5988478267824655,13951.333
