"VAPOR_WATER_FLUX_KG/S","CLOUD_LIQUID_WATER_FLUX_KG/S","CLOUD_FROZEN_WATER_FLUX_KG/S","PRECIPITATION_KG/S","EVAPORATION_KG/S","2M_TEMPERATURE_K"
-18833411.36,2762.69,-54470.34,2824555765.52,-3878161044.22,295.74
-23692688.07,-31368.40,31788.54,1592004819.17,-3127613797.33,295.67
11648285.40,-153208.83,-159652.50,3610643073.13,-3312398657.97,297.66
39031715.70,-67015.77,-202231.56,6246827759.54,-4056941379.46,299.27
36384784.99,-46554.28,-477457.01,8059709675.93,-4544757290.88,299.93
32474968.68,-59188.81,-159842.05,6562927488.04,-4642135708.55,300.79
71805461.07,-115729.55,-216398.73,11182051432.43,-5946498449.61,299.82
70109168.42,-84811.44,-394350.20,13440079786.36,-6784197268.64,298.77
20745407.59,-94394.55,-216006.25,9936206321.38,-7310384535.28,299.42
53681028.35,-46689.36,-229881.80,12486553983.46,-7667075795.30,299.05
18193179.02,-132604.75,-147644.58,9107266578.01,-6898156367.18,298.76
-10569627.32,23585.48,-71393.94,5094682435.01,-5045443474.72,296.85
-18724514.07,224449.93,-10528.89,3602064683.03,-3843090158.72,294.25
-8563363.79,61344.32,18718.74,2394438493.51,-3089328588.74,295.53
6338779.59,-178109.98,-72179.35,3188676811.63,-3209529403.29,298.11
2770048.74,-173218.35,-272513.89,5470524517.75,-3836354822.20,298.99
32343782.04,43939.59,-156962.00,6678659087.87,-4240659346.15,300.22
91093232.52,164814.09,-512882.72,11825227382.88,-5676126383.62,300.80
38702706.16,-216624.06,-185251.70,10481632540.04,-6665713476.25,300.21
29884389.82,-148699.36,-276601.71,9509247369.90,-6795803640.57,300.53
51546663.55,-65235.42,-309888.88,12489561079.09,-7327385752.35,299.76
37600787.71,-71736.99,-255787.13,10469357788.85,-7367509798.96,300.03
4636313.00,-222032.19,-180780.70,7117213896.23,-6426234271.14,298.99
-6555139.40,-106137.26,-59039.95,4861782951.83,-4822679212.73,298.04
-29526309.55,-44862.17,-26484.18,1969813478.16,-3596576333.77,296.11
-9271808.17,-16832.53,-59121.45,2593821768.02,-2928002339.59,295.86
-12588807.85,-129003.02,-216995.23,2129862975.92,-3007826613.69,297.15
4046422.28,-81648.43,-90852.67,4079054392.75,-3575849280.31,299.81
37320112.45,-139995.67,-305115.34,6561958024.33,-3888884665.94,301.32
34029712.96,-234608.39,-181401.65,8199357719.90,-5549650108.62,301.69
38668355.72,-115283.25,-287981.99,8720614395.53,-5974548371.56,300.94
89410850.39,-129679.70,-126158.39,13490023451.35,-6400229038.53,299.38
65791919.38,-323.81,-252546.33,15681532195.65,-8393488614.79,298.52
45190557.29,-65517.17,-355427.15,13034601351.60,-7806400665.66,299.18
2764445.29,-81925.10,-120776.57,8024703302.76,-7004184880.82,298.60
-29708978.07,-85102.18,-52326.08,4174316528.65,-5223726031.30,297.00
-19388254.97,89027.06,-110011.23,2425628097.24,-3874859150.13,296.39
-28928973.96,82329.03,149454.97,1454901025.51,-3159233439.83,293.06
-17274744.27,-24499.36,-43196.06,2219129595.27,-3104558941.25,294.85
22010437.76,-82283.81,-185223.79,5713862251.26,-3911307743.33,298.03
17106356.76,-277616.51,-317428.61,5106803001.57,-4478045262.31,300.68
46431943.28,-26682.27,-236839.31,9206331886.11,-5763755445.79,300.85
30114716.81,-220641.10,-276905.33,8138397358.58,-5958822358.78,300.60
57533005.27,-105613.09,-244557.15,10884659919.87,-6345904865.28,299.72
51510354.26,-61513.29,-299871.72,12013130385.35,-7327356169.14,299.45
27512942.01,-44339.49,-437893.27,11244408706.77,-7668753805.97,299.77
17246338.31,-85975.92,-173493.10,8409156937.72,-6595453098.16,298.67
-17206608.95,8834.40,5813.96,4077048412.81,-4787286363.66,297.70
-8540116.43,38488.18,-43638.58,4036630423.98,-3776852806.31,295.25
-19698398.58,68777.99,28584.13,1507523877.11,-3339885069.28,295.93
